step,posterior_p_L,profit_Y,profit_S,contract
0,0.5,58.75,57.5,Y
1,0.25,56.875,53.75,Y
2,0.125,55.9375,51.875,Y
3,0.0625,55.46875,50.9375,Y
4,0.03125,55.234375,50.46875,Y
5,0.015625,55.1171875,50.234375,Y
6,0.0078125,55.05859375,50.1171875,Y
7,0.00390625,55.029296875,50.05859375,Y
8,0.001953125,55.0146484375,50.029296875,Y
9,0.0009765625,55.00732421875,50.0146484375,Y
10,0.00048828125,55.003662109375,50.00732421875,Y
11,0.000244140625,55.0018310546875,50.003662109375,Y
12,0.0001220703125,55.00091552734375,50.0018310546875,Y
13,6.103515625e-05,55.000457763671875,50.00091552734375,Y
14,3.0517578125e-05,55.00022888183594,50.000457763671875,Y
15,1.52587890625e-05,55.00011444091797,50.00022888183594,Y
16,7.62939453125e-06,55.000057220458984,50.00011444091797,Y
17,3.814697265625e-06,55.00002861022949,50.000057220458984,Y
18,1.9073486328125e-06,55.000014305114746,50.00002861022949,Y
19,9.5367431640625e-07,55.00000715255737,50.000014305114746,Y
20,4.76837158203125e-07,55.00000357627869,50.00000715255737,Y
21,2.384185791015625e-07,55.00000178813934,50.00000357627869,Y
22,1.1920928955078125e-07,55.00000089406967,50.00000178813934,Y
23,5.960464477539063e-08,55.000000447034836,50.00000089406967,Y
24,2.9802322387695312e-08,55.00000022351742,50.000000447034836,Y
25,1.4901161193847656e-08,55.00000011175871,50.00000022351742,Y
26,7.450580596923828e-09,55.000000055879354,50.00000011175871,Y
27,3.725290298461914e-09,55.00000002793968,50.000000055879354,Y
28,1.862645149230957e-09,55.00000001396984,50.00000002793968,Y
29,9.313225746154785e-10,55.00000000698492,50.00000001396984,Y
30,4.656612873077393e-10,55.00000000349246,50.00000000698492,Y
31,2.3283064365386963e-10,55.00000000174623,50.00000000349246,Y
32,1.1641532182693481e-10,55.000000000873115,50.00000000174623,Y
33,5.820766091346741e-11,55.00000000043656,50.000000000873115,Y
34,2.9103830456733704e-11,55.00000000021828,50.00000000043656,Y
35,1.4551915228366852e-11,55.00000000010914,50.00000000021828,Y
36,7.275957614183426e-12,55.00000000005457,50.00000000010914,Y
37,3.637978807091713e-12,55.000000000027285,50.00000000005457,Y
38,1.8189894035458565e-12,55.00000000001364,50.000000000027285,Y
39,9.094947017729282e-13,55.00000000000682,50.00000000001364,Y
40,4.547473508864641e-13,55.00000000000341,50.00000000000682,Y
41,2.2737367544323206e-13,55.000000000001705,50.00000000000341,Y
42,1.1368683772161603e-13,55.00000000000085,50.000000000001705,Y
43,5.684341886080802e-14,55.000000000000426,50.00000000000085,Y
44,2.842170943040401e-14,55.00000000000021,50.000000000000426,Y
45,1.4210854715202004e-14,55.00000000000011,50.00000000000021,Y
46,7.105427357601002e-15,55.00000000000006,50.00000000000011,Y
47,3.552713678800501e-15,55.00000000000002,50.00000000000006,Y
48,1.7763568394002505e-15,55.000000000000014,50.00000000000003,Y
49,8.881784197001252e-16,55.00000000000001,50.000000000000014,Y
