step,posterior_p_L,profit_Y,profit_S,contract
0,0.5,31.25,42.5,S
1,0.25,29.375,38.75,S
2,0.125,28.4375,36.875,S
3,0.0625,27.96875,35.9375,S
4,0.03125,27.734375,35.46875,S
5,0.015625,27.6171875,35.234375,S
6,0.0078125,27.55859375,35.1171875,S
7,0.00390625,27.529296875,35.05859375,S
8,0.001953125,27.5146484375,35.029296875,S
9,0.0009765625,27.50732421875,35.0146484375,S
10,0.00048828125,27.503662109375,35.00732421875,S
11,0.000244140625,27.5018310546875,35.003662109375,S
12,0.0001220703125,27.50091552734375,35.0018310546875,S
13,6.103515625e-05,27.500457763671875,35.00091552734375,S
14,3.0517578125e-05,27.500228881835938,35.000457763671875,S
15,1.52587890625e-05,27.50011444091797,35.00022888183594,S
16,7.62939453125e-06,27.500057220458984,35.00011444091797,S
17,3.814697265625e-06,27.500028610229492,35.000057220458984,S
18,1.9073486328125e-06,27.500014305114746,35.00002861022949,S
19,9.5367431640625e-07,27.500007152557373,35.000014305114746,S
20,4.76837158203125e-07,27.500003576278687,35.00000715255737,S
21,2.384185791015625e-07,27.500001788139343,35.00000357627869,S
22,1.1920928955078125e-07,27.50000089406967,35.00000178813934,S
23,5.960464477539063e-08,27.500000447034836,35.00000089406967,S
24,2.9802322387695312e-08,27.500000223517418,35.000000447034836,S
25,1.4901161193847656e-08,27.50000011175871,35.00000022351742,S
26,7.450580596923828e-09,27.500000055879354,35.00000011175871,S
27,3.725290298461914e-09,27.500000027939677,35.000000055879354,S
28,1.862645149230957e-09,27.50000001396984,35.00000002793968,S
29,9.313225746154785e-10,27.50000000698492,35.00000001396984,S
30,4.656612873077393e-10,27.50000000349246,35.00000000698492,S
31,2.3283064365386963e-10,27.50000000174623,35.00000000349246,S
32,1.1641532182693481e-10,27.500000000873115,35.00000000174623,S
33,5.820766091346741e-11,27.500000000436557,35.000000000873115,S
34,2.9103830456733704e-11,27.50000000021828,35.00000000043656,S
35,1.4551915228366852e-11,27.50000000010914,35.00000000021828,S
36,7.275957614183426e-12,27.50000000005457,35.00000000010914,S
37,3.637978807091713e-12,27.500000000027285,35.00000000005457,S
38,1.8189894035458565e-12,27.500000000013642,35.000000000027285,S
39,9.094947017729282e-13,27.50000000000682,35.00000000001364,S
40,4.547473508864641e-13,27.50000000000341,35.00000000000682,S
41,2.2737367544323206e-13,27.500000000001705,35.00000000000341,S
42,1.1368683772161603e-13,27.500000000000853,35.000000000001705,S
43,5.684341886080802e-14,27.500000000000426,35.00000000000085,S
44,2.842170943040401e-14,27.500000000000213,35.000000000000426,S
45,1.4210854715202004e-14,27.500000000000107,35.00000000000021,S
46,7.105427357601002e-15,27.500000000000053,35.00000000000011,S
47,3.552713678800501e-15,27.500000000000025,35.00000000000005,S
48,1.7763568394002505e-15,27.500000000000014,35.00000000000003,S
49,8.881784197001252e-16,27.500000000000007,35.000000000000014,S
