step,posterior_p_L,profit_Y,profit_S,contract
0,0.7,60.25,24.2,Y
1,0.35,57.625,22.1,Y
2,0.175,56.3125,21.05,Y
3,0.0875,55.65625,20.525,Y
4,0.04375,55.328125,20.2625,Y
5,0.021875,55.1640625,20.13125,Y
6,0.0109375,55.08203125,20.065625,Y
7,0.00546875,55.041015625,20.0328125,Y
8,0.002734375,55.0205078125,20.01640625,Y
9,0.0013671875,55.01025390625,20.008203125,Y
10,0.00068359375,55.005126953125,20.0041015625,Y
11,0.000341796875,55.0025634765625,20.00205078125,Y
12,0.0001708984375,55.00128173828125,20.001025390625,Y
13,8.544921875e-05,55.000640869140625,20.0005126953125,Y
14,4.2724609375e-05,55.00032043457031,20.00025634765625,Y
15,2.13623046875e-05,55.000160217285156,20.000128173828124,Y
16,1.068115234375e-05,55.00008010864258,20.000064086914062,Y
17,5.340576171875e-06,55.00004005432129,20.000032043457033,Y
18,2.6702880859375e-06,55.000020027160645,20.000016021728516,Y
19,1.33514404296875e-06,55.00001001358032,20.000008010864256,Y
20,6.67572021484375e-07,55.00000500679016,20.000004005432128,Y
21,3.337860107421875e-07,55.00000250339508,20.000002002716066,Y
22,1.6689300537109374e-07,55.00000125169754,20.000001001358033,Y
23,8.344650268554687e-08,55.00000062584877,20.000000500679015,Y
24,4.1723251342773435e-08,55.000000312924385,20.000000250339507,Y
25,2.0861625671386717e-08,55.00000015646219,20.000000125169755,Y
26,1.0430812835693359e-08,55.000000078231096,20.000000062584878,Y
27,5.215406417846679e-09,55.00000003911555,20.000000031292437,Y
28,2.6077032089233397e-09,55.000000019557774,20.00000001564622,Y
29,1.3038516044616698e-09,55.00000000977889,20.00000000782311,Y
30,6.519258022308349e-10,55.00000000488944,20.000000003911556,Y
31,3.2596290111541746e-10,55.00000000244472,20.000000001955776,Y
32,1.6298145055770873e-10,55.00000000122236,20.000000000977888,Y
33,8.149072527885436e-11,55.00000000061118,20.000000000488946,Y
34,4.074536263942718e-11,55.00000000030559,20.000000000244473,Y
35,2.037268131971359e-11,55.000000000152795,20.000000000122235,Y
36,1.0186340659856796e-11,55.0000000000764,20.000000000061117,Y
37,5.093170329928398e-12,55.0000000000382,20.00000000003056,Y
38,2.546585164964199e-12,55.0000000000191,20.00000000001528,Y
39,1.2732925824820995e-12,55.00000000000955,20.00000000000764,Y
40,6.366462912410497e-13,55.000000000004775,20.00000000000382,Y
41,3.1832314562052486e-13,55.00000000000239,20.00000000000191,Y
42,1.5916157281026243e-13,55.000000000001194,20.000000000000956,Y
43,7.958078640513122e-14,55.0000000000006,20.000000000000476,Y
44,3.979039320256561e-14,55.0000000000003,20.000000000000238,Y
45,1.9895196601282804e-14,55.00000000000015,20.00000000000012,Y
46,9.947598300641402e-15,55.00000000000007,20.00000000000006,Y
47,4.973799150320701e-15,55.000000000000036,20.00000000000003,Y
48,2.4868995751603505e-15,55.00000000000002,20.000000000000014,Y
49,1.2434497875801752e-15,55.000000000000014,20.000000000000007,Y
