step,posterior_p_L
1,0.35
2,0.175
3,0.0875
4,0.04375
5,0.021875
6,0.0109375
7,0.00546875
8,0.002734375
9,0.0013671875
10,0.00068359375
11,0.000341796875
12,0.0001708984375
13,8.544921875e-05
14,4.2724609375e-05
15,2.13623046875e-05
16,1.068115234375e-05
17,5.340576171875e-06
18,2.6702880859375e-06
19,1.33514404296875e-06
20,6.67572021484375e-07
21,3.337860107421875e-07
22,1.6689300537109374e-07
23,8.344650268554687e-08
24,4.1723251342773435e-08
25,2.0861625671386717e-08
26,1.0430812835693359e-08
27,5.215406417846679e-09
28,2.6077032089233397e-09
29,1.3038516044616698e-09
30,6.519258022308349e-10
31,3.2596290111541746e-10
32,1.6298145055770873e-10
33,8.149072527885436e-11
34,4.074536263942718e-11
35,2.037268131971359e-11
36,1.0186340659856796e-11
37,5.093170329928398e-12
38,2.546585164964199e-12
39,1.2732925824820995e-12
40,6.366462912410497e-13
41,3.1832314562052486e-13
42,1.5916157281026243e-13
43,7.958078640513122e-14
44,3.979039320256561e-14
45,1.9895196601282804e-14
46,9.947598300641402e-15
47,4.973799150320701e-15
48,2.4868995751603505e-15
49,1.2434497875801752e-15
50,6.217248937900876e-16
