step,posterior_p_L,profit_Y,profit_S,contract
0,0.7,60.25,60.5,S
1,0.35,57.625,55.25,Y
2,0.175,56.3125,52.625,Y
3,0.0875,55.65625,51.3125,Y
4,0.04375,55.328125,50.65625,Y
5,0.021875,55.1640625,50.328125,Y
6,0.0109375,55.08203125,50.1640625,Y
7,0.00546875,55.041015625,50.08203125,Y
8,0.002734375,55.0205078125,50.041015625,Y
9,0.0013671875,55.01025390625,50.0205078125,Y
10,0.00068359375,55.005126953125,50.01025390625,Y
11,0.000341796875,55.0025634765625,50.005126953125,Y
12,0.0001708984375,55.00128173828125,50.0025634765625,Y
13,8.544921875e-05,55.000640869140625,50.00128173828125,Y
14,4.2724609375e-05,55.00032043457031,50.000640869140625,Y
15,2.13623046875e-05,55.000160217285156,50.00032043457031,Y
16,1.068115234375e-05,55.00008010864258,50.000160217285156,Y
17,5.340576171875e-06,55.00004005432129,50.00008010864258,Y
18,2.6702880859375e-06,55.000020027160645,50.00004005432129,Y
19,1.33514404296875e-06,55.00001001358032,50.000020027160645,Y
20,6.67572021484375e-07,55.00000500679016,50.00001001358032,Y
21,3.337860107421875e-07,55.00000250339508,50.00000500679016,Y
22,1.6689300537109374e-07,55.00000125169754,50.00000250339508,Y
23,8.344650268554687e-08,55.00000062584877,50.00000125169754,Y
24,4.1723251342773435e-08,55.000000312924385,50.00000062584877,Y
25,2.0861625671386717e-08,55.00000015646219,50.000000312924385,Y
26,1.0430812835693359e-08,55.000000078231096,50.00000015646219,Y
27,5.215406417846679e-09,55.00000003911555,50.000000078231096,Y
28,2.6077032089233397e-09,55.000000019557774,50.00000003911555,Y
29,1.3038516044616698e-09,55.00000000977889,50.000000019557774,Y
30,6.519258022308349e-10,55.00000000488944,50.00000000977889,Y
31,3.2596290111541746e-10,55.00000000244472,50.00000000488944,Y
32,1.6298145055770873e-10,55.00000000122236,50.00000000244472,Y
33,8.149072527885436e-11,55.00000000061118,50.00000000122236,Y
34,4.074536263942718e-11,55.00000000030559,50.00000000061118,Y
35,2.037268131971359e-11,55.000000000152795,50.00000000030559,Y
36,1.0186340659856796e-11,55.0000000000764,50.000000000152795,Y
37,5.093170329928398e-12,55.0000000000382,50.0000000000764,Y
38,2.546585164964199e-12,55.0000000000191,50.0000000000382,Y
39,1.2732925824820995e-12,55.00000000000955,50.0000000000191,Y
40,6.366462912410497e-13,55.000000000004775,50.00000000000955,Y
41,3.1832314562052486e-13,55.00000000000239,50.000000000004775,Y
42,1.5916157281026243e-13,55.000000000001194,50.00000000000239,Y
43,7.958078640513122e-14,55.0000000000006,50.000000000001194,Y
44,3.979039320256561e-14,55.0000000000003,50.0000000000006,Y
45,1.9895196601282804e-14,55.00000000000015,50.0000000000003,Y
46,9.947598300641402e-15,55.00000000000007,50.00000000000015,Y
47,4.973799150320701e-15,55.000000000000036,50.00000000000007,Y
48,2.4868995751603505e-15,55.00000000000002,50.00000000000004,Y
49,1.2434497875801752e-15,55.000000000000014,50.000000000000014,Y
