step,posterior_p_L,profit_Y,profit_S,contract
0,0.3,39.75,15.799999999999999,Y
1,0.15,38.625,14.9,Y
2,0.075,38.0625,14.450000000000001,Y
3,0.0375,37.78125,14.225,Y
4,0.01875,37.640625,14.112499999999999,Y
5,0.009375,37.5703125,14.05625,Y
6,0.0046875,37.53515625,14.028125000000001,Y
7,0.00234375,37.517578125,14.0140625,Y
8,0.001171875,37.5087890625,14.007031249999999,Y
9,0.0005859375,37.50439453125,14.003515625,Y
10,0.00029296875,37.502197265625,14.001757812500001,Y
11,0.000146484375,37.5010986328125,14.00087890625,Y
12,7.32421875e-05,37.50054931640625,14.000439453124999,Y
13,3.662109375e-05,37.500274658203125,14.0002197265625,Y
14,1.8310546875e-05,37.50013732910156,14.000109863281251,Y
15,9.1552734375e-06,37.50006866455078,14.000054931640625,Y
16,4.57763671875e-06,37.50003433227539,14.000027465820311,Y
17,2.288818359375e-06,37.500017166137695,14.000013732910157,Y
18,1.1444091796875e-06,37.50000858306885,14.00000686645508,Y
19,5.7220458984375e-07,37.500004291534424,14.000003433227539,Y
20,2.86102294921875e-07,37.50000214576721,14.000001716613768,Y
21,1.430511474609375e-07,37.500001072883606,14.000000858306885,Y
22,7.152557373046875e-08,37.5000005364418,14.000000429153443,Y
23,3.5762786865234374e-08,37.5000002682209,14.00000021457672,Y
24,1.7881393432617187e-08,37.50000013411045,14.00000010728836,Y
25,8.940696716308593e-09,37.500000067055225,14.00000005364418,Y
26,4.470348358154297e-09,37.50000003352761,14.000000026822091,Y
27,2.2351741790771484e-09,37.500000016763806,14.000000013411045,Y
28,1.1175870895385742e-09,37.5000000083819,14.000000006705521,Y
29,5.587935447692871e-10,37.50000000419095,14.000000003352762,Y
30,2.7939677238464354e-10,37.500000002095476,14.000000001676382,Y
31,1.3969838619232177e-10,37.50000000104774,14.00000000083819,Y
32,6.984919309616089e-11,37.50000000052387,14.000000000419094,Y
33,3.492459654808044e-11,37.500000000261934,14.000000000209548,Y
34,1.746229827404022e-11,37.50000000013097,14.000000000104775,Y
35,8.73114913702011e-12,37.500000000065484,14.000000000052387,Y
36,4.365574568510055e-12,37.50000000003274,14.000000000026192,Y
37,2.1827872842550277e-12,37.50000000001637,14.000000000013097,Y
38,1.0913936421275138e-12,37.500000000008185,14.00000000000655,Y
39,5.456968210637569e-13,37.50000000000409,14.000000000003274,Y
40,2.7284841053187846e-13,37.500000000002046,14.000000000001636,Y
41,1.3642420526593923e-13,37.50000000000102,14.000000000000819,Y
42,6.821210263296962e-14,37.50000000000051,14.00000000000041,Y
43,3.410605131648481e-14,37.500000000000256,14.000000000000204,Y
44,1.7053025658242404e-14,37.50000000000013,14.000000000000101,Y
45,8.526512829121202e-15,37.500000000000064,14.000000000000052,Y
46,4.263256414560601e-15,37.500000000000036,14.000000000000027,Y
47,2.1316282072803005e-15,37.500000000000014,14.000000000000012,Y
48,1.0658141036401502e-15,37.50000000000001,14.000000000000005,Y
49,5.329070518200751e-16,37.5,14.000000000000004,Y
