step,posterior_p_L,profit_Y,profit_S,contract
0,0.7,40.25,60.5,S
1,0.35,37.625,55.25,S
2,0.175,36.3125,52.625,S
3,0.0875,35.65625,51.3125,S
4,0.04375,35.328125,50.65625,S
5,0.021875,35.1640625,50.328125,S
6,0.0109375,35.08203125,50.1640625,S
7,0.00546875,35.041015625,50.08203125,S
8,0.002734375,35.0205078125,50.041015625,S
9,0.0013671875,35.01025390625,50.0205078125,S
10,0.00068359375,35.005126953125,50.01025390625,S
11,0.000341796875,35.0025634765625,50.005126953125,S
12,0.0001708984375,35.00128173828125,50.0025634765625,S
13,8.544921875e-05,35.000640869140625,50.00128173828125,S
14,4.2724609375e-05,35.00032043457031,50.000640869140625,S
15,2.13623046875e-05,35.000160217285156,50.00032043457031,S
16,1.068115234375e-05,35.00008010864258,50.000160217285156,S
17,5.340576171875e-06,35.00004005432129,50.00008010864258,S
18,2.6702880859375e-06,35.000020027160645,50.00004005432129,S
19,1.33514404296875e-06,35.00001001358032,50.000020027160645,S
20,6.67572021484375e-07,35.00000500679016,50.00001001358032,S
21,3.337860107421875e-07,35.00000250339508,50.00000500679016,S
22,1.6689300537109374e-07,35.00000125169754,50.00000250339508,S
23,8.344650268554687e-08,35.00000062584877,50.00000125169754,S
24,4.1723251342773435e-08,35.000000312924385,50.00000062584877,S
25,2.0861625671386717e-08,35.00000015646219,50.000000312924385,S
26,1.0430812835693359e-08,35.000000078231096,50.00000015646219,S
27,5.215406417846679e-09,35.00000003911555,50.000000078231096,S
28,2.6077032089233397e-09,35.000000019557774,50.00000003911555,S
29,1.3038516044616698e-09,35.00000000977889,50.000000019557774,S
30,6.519258022308349e-10,35.00000000488944,50.00000000977889,S
31,3.2596290111541746e-10,35.00000000244472,50.00000000488944,S
32,1.6298145055770873e-10,35.00000000122236,50.00000000244472,S
33,8.149072527885436e-11,35.00000000061118,50.00000000122236,S
34,4.074536263942718e-11,35.00000000030559,50.00000000061118,S
35,2.037268131971359e-11,35.000000000152795,50.00000000030559,S
36,1.0186340659856796e-11,35.0000000000764,50.000000000152795,S
37,5.093170329928398e-12,35.0000000000382,50.0000000000764,S
38,2.546585164964199e-12,35.0000000000191,50.0000000000382,S
39,1.2732925824820995e-12,35.00000000000955,50.0000000000191,S
40,6.366462912410497e-13,35.000000000004775,50.00000000000955,S
41,3.1832314562052486e-13,35.00000000000239,50.000000000004775,S
42,1.5916157281026243e-13,35.000000000001194,50.00000000000239,S
43,7.958078640513122e-14,35.0000000000006,50.000000000001194,S
44,3.979039320256561e-14,35.0000000000003,50.0000000000006,S
45,1.9895196601282804e-14,35.00000000000015,50.0000000000003,S
46,9.947598300641402e-15,35.00000000000007,50.00000000000015,S
47,4.973799150320701e-15,35.000000000000036,50.00000000000007,S
48,2.4868995751603505e-15,35.00000000000002,50.00000000000004,S
49,1.2434497875801752e-15,35.00000000000001,50.000000000000014,S
