step,posterior_p_L,profit_Y,profit_S,contract
0,0.3,47.25,21.8,Y
1,0.15,46.125,20.9,Y
2,0.075,45.5625,20.45,Y
3,0.0375,45.28125,20.225,Y
4,0.01875,45.140625,20.1125,Y
5,0.009375,45.0703125,20.05625,Y
6,0.0046875,45.03515625,20.028125,Y
7,0.00234375,45.017578125,20.0140625,Y
8,0.001171875,45.0087890625,20.00703125,Y
9,0.0005859375,45.00439453125,20.003515625,Y
10,0.00029296875,45.002197265625,20.0017578125,Y
11,0.000146484375,45.0010986328125,20.00087890625,Y
12,7.32421875e-05,45.00054931640625,20.000439453125,Y
13,3.662109375e-05,45.000274658203125,20.0002197265625,Y
14,1.8310546875e-05,45.00013732910156,20.00010986328125,Y
15,9.1552734375e-06,45.00006866455078,20.000054931640626,Y
16,4.57763671875e-06,45.00003433227539,20.000027465820313,Y
17,2.288818359375e-06,45.000017166137695,20.000013732910155,Y
18,1.1444091796875e-06,45.00000858306885,20.000006866455077,Y
19,5.7220458984375e-07,45.000004291534424,20.00000343322754,Y
20,2.86102294921875e-07,45.00000214576721,20.00000171661377,Y
21,1.430511474609375e-07,45.000001072883606,20.000000858306883,Y
22,7.152557373046875e-08,45.0000005364418,20.00000042915344,Y
23,3.5762786865234374e-08,45.0000002682209,20.000000214576723,Y
24,1.7881393432617187e-08,45.00000013411045,20.00000010728836,Y
25,8.940696716308593e-09,45.000000067055225,20.00000005364418,Y
26,4.470348358154297e-09,45.00000003352761,20.00000002682209,Y
27,2.2351741790771484e-09,45.000000016763806,20.000000013411046,Y
28,1.1175870895385742e-09,45.0000000083819,20.000000006705523,Y
29,5.587935447692871e-10,45.00000000419095,20.00000000335276,Y
30,2.7939677238464354e-10,45.000000002095476,20.00000000167638,Y
31,1.3969838619232177e-10,45.00000000104774,20.00000000083819,Y
32,6.984919309616089e-11,45.00000000052387,20.000000000419096,Y
33,3.492459654808044e-11,45.000000000261934,20.000000000209546,Y
34,1.746229827404022e-11,45.00000000013097,20.000000000104773,Y
35,8.73114913702011e-12,45.000000000065484,20.00000000005239,Y
36,4.365574568510055e-12,45.00000000003274,20.000000000026194,Y
37,2.1827872842550277e-12,45.00000000001637,20.000000000013095,Y
38,1.0913936421275138e-12,45.000000000008185,20.000000000006548,Y
39,5.456968210637569e-13,45.00000000000409,20.000000000003276,Y
40,2.7284841053187846e-13,45.000000000002046,20.000000000001638,Y
41,1.3642420526593923e-13,45.00000000000102,20.000000000000817,Y
42,6.821210263296962e-14,45.00000000000051,20.00000000000041,Y
43,3.410605131648481e-14,45.000000000000256,20.000000000000206,Y
44,1.7053025658242404e-14,45.00000000000013,20.000000000000103,Y
45,8.526512829121202e-15,45.000000000000064,20.00000000000005,Y
46,4.263256414560601e-15,45.00000000000003,20.000000000000025,Y
47,2.1316282072803005e-15,45.00000000000002,20.000000000000014,Y
48,1.0658141036401502e-15,45.00000000000001,20.000000000000007,Y
49,5.329070518200751e-16,45.0,20.000000000000004,Y
