step,posterior_p_L,profit_Y,profit_S,contract
0,0.5,48.75,57.5,S
1,0.25,46.875,53.75,S
2,0.125,45.9375,51.875,S
3,0.0625,45.46875,50.9375,S
4,0.03125,45.234375,50.46875,S
5,0.015625,45.1171875,50.234375,S
6,0.0078125,45.05859375,50.1171875,S
7,0.00390625,45.029296875,50.05859375,S
8,0.001953125,45.0146484375,50.029296875,S
9,0.0009765625,45.00732421875,50.0146484375,S
10,0.00048828125,45.003662109375,50.00732421875,S
11,0.000244140625,45.0018310546875,50.003662109375,S
12,0.0001220703125,45.00091552734375,50.0018310546875,S
13,6.103515625e-05,45.000457763671875,50.00091552734375,S
14,3.0517578125e-05,45.00022888183594,50.000457763671875,S
15,1.52587890625e-05,45.00011444091797,50.00022888183594,S
16,7.62939453125e-06,45.000057220458984,50.00011444091797,S
17,3.814697265625e-06,45.00002861022949,50.000057220458984,S
18,1.9073486328125e-06,45.000014305114746,50.00002861022949,S
19,9.5367431640625e-07,45.00000715255737,50.000014305114746,S
20,4.76837158203125e-07,45.00000357627869,50.00000715255737,S
21,2.384185791015625e-07,45.00000178813934,50.00000357627869,S
22,1.1920928955078125e-07,45.00000089406967,50.00000178813934,S
23,5.960464477539063e-08,45.000000447034836,50.00000089406967,S
24,2.9802322387695312e-08,45.00000022351742,50.000000447034836,S
25,1.4901161193847656e-08,45.00000011175871,50.00000022351742,S
26,7.450580596923828e-09,45.000000055879354,50.00000011175871,S
27,3.725290298461914e-09,45.00000002793968,50.000000055879354,S
28,1.862645149230957e-09,45.00000001396984,50.00000002793968,S
29,9.313225746154785e-10,45.00000000698492,50.00000001396984,S
30,4.656612873077393e-10,45.00000000349246,50.00000000698492,S
31,2.3283064365386963e-10,45.00000000174623,50.00000000349246,S
32,1.1641532182693481e-10,45.000000000873115,50.00000000174623,S
33,5.820766091346741e-11,45.00000000043656,50.000000000873115,S
34,2.9103830456733704e-11,45.00000000021828,50.00000000043656,S
35,1.4551915228366852e-11,45.00000000010914,50.00000000021828,S
36,7.275957614183426e-12,45.00000000005457,50.00000000010914,S
37,3.637978807091713e-12,45.000000000027285,50.00000000005457,S
38,1.8189894035458565e-12,45.00000000001364,50.000000000027285,S
39,9.094947017729282e-13,45.00000000000682,50.00000000001364,S
40,4.547473508864641e-13,45.00000000000341,50.00000000000682,S
41,2.2737367544323206e-13,45.000000000001705,50.00000000000341,S
42,1.1368683772161603e-13,45.00000000000085,50.000000000001705,S
43,5.684341886080802e-14,45.000000000000426,50.00000000000085,S
44,2.842170943040401e-14,45.00000000000021,50.000000000000426,S
45,1.4210854715202004e-14,45.00000000000011,50.00000000000021,S
46,7.105427357601002e-15,45.00000000000006,50.00000000000011,S
47,3.552713678800501e-15,45.00000000000003,50.00000000000006,S
48,1.7763568394002505e-15,45.000000000000014,50.00000000000003,S
49,8.881784197001252e-16,45.00000000000001,50.000000000000014,S
