step,posterior_p_L,profit_Y,profit_S,contract
0,0.3,29.75,39.5,S
1,0.15,28.625,37.25,S
2,0.075,28.0625,36.125,S
3,0.0375,27.78125,35.5625,S
4,0.01875,27.640625,35.28125,S
5,0.009375,27.5703125,35.140625,S
6,0.0046875,27.53515625,35.0703125,S
7,0.00234375,27.517578125,35.03515625,S
8,0.001171875,27.5087890625,35.017578125,S
9,0.0005859375,27.50439453125,35.0087890625,S
10,0.00029296875,27.502197265625,35.00439453125,S
11,0.000146484375,27.5010986328125,35.002197265625,S
12,7.32421875e-05,27.50054931640625,35.0010986328125,S
13,3.662109375e-05,27.500274658203125,35.00054931640625,S
14,1.8310546875e-05,27.500137329101562,35.000274658203125,S
15,9.1552734375e-06,27.50006866455078,35.00013732910156,S
16,4.57763671875e-06,27.50003433227539,35.00006866455078,S
17,2.288818359375e-06,27.500017166137695,35.00003433227539,S
18,1.1444091796875e-06,27.500008583068848,35.000017166137695,S
19,5.7220458984375e-07,27.500004291534424,35.00000858306885,S
20,2.86102294921875e-07,27.500002145767212,35.000004291534424,S
21,1.430511474609375e-07,27.500001072883606,35.00000214576721,S
22,7.152557373046875e-08,27.500000536441803,35.000001072883606,S
23,3.5762786865234374e-08,27.5000002682209,35.0000005364418,S
24,1.7881393432617187e-08,27.50000013411045,35.0000002682209,S
25,8.940696716308593e-09,27.500000067055225,35.00000013411045,S
26,4.470348358154297e-09,27.500000033527613,35.000000067055225,S
27,2.2351741790771484e-09,27.500000016763806,35.00000003352761,S
28,1.1175870895385742e-09,27.500000008381903,35.000000016763806,S
29,5.587935447692871e-10,27.50000000419095,35.0000000083819,S
30,2.7939677238464354e-10,27.500000002095476,35.00000000419095,S
31,1.3969838619232177e-10,27.500000001047738,35.000000002095476,S
32,6.984919309616089e-11,27.50000000052387,35.00000000104774,S
33,3.492459654808044e-11,27.500000000261934,35.00000000052387,S
34,1.746229827404022e-11,27.500000000130967,35.000000000261934,S
35,8.73114913702011e-12,27.500000000065484,35.00000000013097,S
36,4.365574568510055e-12,27.500000000032742,35.000000000065484,S
37,2.1827872842550277e-12,27.50000000001637,35.00000000003274,S
38,1.0913936421275138e-12,27.500000000008185,35.00000000001637,S
39,5.456968210637569e-13,27.500000000004093,35.000000000008185,S
40,2.7284841053187846e-13,27.500000000002046,35.00000000000409,S
41,1.3642420526593923e-13,27.500000000001023,35.000000000002046,S
42,6.821210263296962e-14,27.50000000000051,35.00000000000102,S
43,3.410605131648481e-14,27.500000000000256,35.00000000000051,S
44,1.7053025658242404e-14,27.500000000000128,35.000000000000256,S
45,8.526512829121202e-15,27.500000000000064,35.00000000000013,S
46,4.263256414560601e-15,27.500000000000032,35.000000000000064,S
47,2.1316282072803005e-15,27.500000000000018,35.000000000000036,S
48,1.0658141036401502e-15,27.500000000000007,35.000000000000014,S
49,5.329070518200751e-16,27.500000000000004,35.00000000000001,S
