step,posterior_p_L,profit_Y,profit_S,contract
0,0.7,52.75,45.5,Y
1,0.35,50.125,40.25,Y
2,0.175,48.8125,37.625,Y
3,0.0875,48.15625,36.3125,Y
4,0.04375,47.828125,35.65625,Y
5,0.021875,47.6640625,35.328125,Y
6,0.0109375,47.58203125,35.1640625,Y
7,0.00546875,47.541015625,35.08203125,Y
8,0.002734375,47.5205078125,35.041015625,Y
9,0.0013671875,47.51025390625,35.0205078125,Y
10,0.00068359375,47.505126953125,35.01025390625,Y
11,0.000341796875,47.5025634765625,35.005126953125,Y
12,0.0001708984375,47.50128173828125,35.0025634765625,Y
13,8.544921875e-05,47.500640869140625,35.00128173828125,Y
14,4.2724609375e-05,47.50032043457031,35.000640869140625,Y
15,2.13623046875e-05,47.500160217285156,35.00032043457031,Y
16,1.068115234375e-05,47.50008010864258,35.000160217285156,Y
17,5.340576171875e-06,47.50004005432129,35.00008010864258,Y
18,2.6702880859375e-06,47.500020027160645,35.00004005432129,Y
19,1.33514404296875e-06,47.50001001358032,35.000020027160645,Y
20,6.67572021484375e-07,47.50000500679016,35.00001001358032,Y
21,3.337860107421875e-07,47.50000250339508,35.00000500679016,Y
22,1.6689300537109374e-07,47.50000125169754,35.00000250339508,Y
23,8.344650268554687e-08,47.50000062584877,35.00000125169754,Y
24,4.1723251342773435e-08,47.500000312924385,35.00000062584877,Y
25,2.0861625671386717e-08,47.50000015646219,35.000000312924385,Y
26,1.0430812835693359e-08,47.500000078231096,35.00000015646219,Y
27,5.215406417846679e-09,47.50000003911555,35.000000078231096,Y
28,2.6077032089233397e-09,47.500000019557774,35.00000003911555,Y
29,1.3038516044616698e-09,47.50000000977889,35.000000019557774,Y
30,6.519258022308349e-10,47.50000000488944,35.00000000977889,Y
31,3.2596290111541746e-10,47.50000000244472,35.00000000488944,Y
32,1.6298145055770873e-10,47.50000000122236,35.00000000244472,Y
33,8.149072527885436e-11,47.50000000061118,35.00000000122236,Y
34,4.074536263942718e-11,47.50000000030559,35.00000000061118,Y
35,2.037268131971359e-11,47.500000000152795,35.00000000030559,Y
36,1.0186340659856796e-11,47.5000000000764,35.000000000152795,Y
37,5.093170329928398e-12,47.5000000000382,35.0000000000764,Y
38,2.546585164964199e-12,47.5000000000191,35.0000000000382,Y
39,1.2732925824820995e-12,47.50000000000955,35.0000000000191,Y
40,6.366462912410497e-13,47.500000000004775,35.00000000000955,Y
41,3.1832314562052486e-13,47.50000000000239,35.000000000004775,Y
42,1.5916157281026243e-13,47.500000000001194,35.00000000000239,Y
43,7.958078640513122e-14,47.5000000000006,35.000000000001194,Y
44,3.979039320256561e-14,47.5000000000003,35.0000000000006,Y
45,1.9895196601282804e-14,47.50000000000015,35.0000000000003,Y
46,9.947598300641402e-15,47.50000000000007,35.00000000000015,Y
47,4.973799150320701e-15,47.50000000000004,35.00000000000007,Y
48,2.4868995751603505e-15,47.50000000000002,35.00000000000004,Y
49,1.2434497875801752e-15,47.500000000000014,35.00000000000002,Y
